"100","Illumina HumanHap300","Infinium II","Illumina HumanHap300 version 1 panel","Illumina","HumanHap300_(v1.1.0)","1.1",\N
"200","Illumina HumanHap240S","Infinium II","Illumina HumanHap240S","Illumina","HumanHap240S_(v0.0.1)","0.0.1",\N
"300","Illumina HumanHap550","Infinium II","Illumina HumanHap550","Illumina","HumanHap550",\N,\N
"400","Affymetrix Human Mapping 500K (overlapped with Illumina HumanHap317K and HumanHap240K)","GeneChip","Affymetrix GeneChip Human Mapping 500K","Affymetrix","Human Mapping 500K",\N,\N
